Wall time,Step,Value
1746872809.3294437,244,0.024655146524310112
1746872916.6882691,465,0.038529619574546814
1746872961.2127464,556,0.02571461722254753
1746873011.067657,658,0.014116792008280754
1746873082.5464668,804,0.033439844846725464
1746873191.2484922,1026,0.03164465352892876
1746873242.9560294,1132,0.04676922783255577
1746873402.461549,1458,0.0070184930227696896
1746873427.9788938,1510,0.012229053303599358
1746873638.3069053,1940,0.0110704954713583
1746873648.047901,1960,0.003644785610958934
1746873914.2577865,2503,0.004249189049005508
1746874007.5686638,2693,0.038365982472896576
1746874019.3068728,2717,0.01193595677614212
1746874275.694997,3241,0.01144834142178297
1746874287.4365816,3265,0.01977032981812954
1746874435.016813,3566,0.017529278993606567
1746874706.2877433,4121,0.027172109112143517
1746874735.7236452,4181,0.017037607729434967
1746875229.4847262,5187,0.02757011353969574
1746875266.2663321,5262,0.010791274718940258
1746875282.4377015,5295,0.005142716690897942
1746875315.267914,5362,0.007859832607209682
1746875360.3199308,5454,0.004500474315136671
1746875464.9427652,5667,0.007035262417048216
1746875546.4187064,5832,0.012751522473990917
1746875563.1984117,5866,0.014031238853931427
1746875620.048132,5981,0.008024008944630623
1746875627.9537506,5997,0.00447559729218483
1746875655.6322715,6053,0.019011862576007843
1746875767.0977213,6279,0.01396968960762024
1746875794.1466103,6334,0.03181122988462448
1746875989.5160031,6730,0.017942946404218674
1746876048.4313033,6850,0.009336443617939949
1746876117.478114,6991,0.029759278520941734
1746876336.0812833,7436,0.01022445596754551
1746876349.8416145,7464,0.009044360369443893
1746876438.486937,7644,0.006980209611356258
1746876480.832908,7730,0.007861568592488766
1746876609.6076436,7986,0.015644732862710953
1746876760.1804056,8291,0.001601328025572002
1746876887.044377,8548,0.023998800665140152
1746876890.0033631,8554,0.009919663891196251
1746876921.5104907,8618,0.013690697960555553
1746876958.7854583,8694,0.011382552795112133
1746876987.216601,8752,0.02185194008052349
1746876998.961853,8776,0.012902498245239258
1746877183.941114,9152,0.014847218990325928
1746877233.4468973,9252,0.014798766002058983
1746877252.7311351,9291,0.016047433018684387
1746877270.543506,9327,0.006265702657401562
1746877286.4096422,9359,0.005294228903949261
1746877460.963827,9712,0.0054423320107162
1746877481.260479,9753,0.0026804874651134014
1746877522.8624246,9837,0.023227011784911156
1746877551.1407986,9894,0.03532177954912186
1746877562.5478806,9917,0.01117338053882122
1746877578.4662175,9949,0.00743830343708396
1746877593.3765981,9979,0.07117174565792084
1746877635.0954707,10063,0.010282563045620918
1746877663.813997,10121,0.019559867680072784
1746877698.5538025,10191,0.009182999841868877
1746877824.1196778,10445,0.01868077740073204
1746877860.210848,10518,0.00433772150427103
1746877923.0730624,10645,0.00629415363073349
1746878111.0118377,11023,0.008650786243379116
1746878158.1960998,11118,0.01245754212141037
1746878508.3308,11819,0.012835880741477013
1746878532.398576,11867,0.011964824050664902
1746878612.401955,12027,0.0037540490739047527
1746878636.7749045,12076,0.010134096257388592
1746878775.6390257,12354,0.008427724242210388
1746878797.6541767,12398,0.01887226477265358
1746878836.7298126,12476,0.001851539476774633
1746879051.50075,12905,0.003952966071665287
1746879251.3795118,13304,0.011408987455070019
1746879293.544962,13388,0.017849959433078766
1746879360.8143365,13522,0.008638264611363411
1746879374.891879,13550,0.024476563557982445
1746879421.0493145,13642,0.005424303002655506
1746879423.5560613,13647,0.004322599153965712
1746879500.996609,13802,0.014156751334667206
1746879524.4722123,13849,0.009903776459395885
1746879585.4920442,13971,0.006623120978474617
1746879623.0574543,14046,0.014871075749397278
1746879694.2854772,14188,0.005473145749419928
1746879732.8644154,14265,0.0283840149641037
1746879923.1053228,14645,0.004337459336966276
1746879973.182395,14745,0.01206845324486494
1746880026.3673067,14851,0.006000341847538948
1746880032.8752894,14864,0.011944150552153587
1746880133.7022955,15065,0.009605079889297485
1746880287.1632912,15371,0.00719352625310421
1746880406.6225348,15610,0.008636138401925564
1746880722.7997,16241,0.017618708312511444
1746881020.1998422,16834,0.008642137050628662
1746881036.2395446,16866,0.014471559785306454
1746881044.7865758,16883,0.0062074619345366955
1746881056.8164942,16907,0.010269345715641975
1746881076.8876007,16947,0.005937315057963133
1746881665.1933565,18121,0.009491165168583393
1746881669.213519,18129,0.01278371550142765
1746881673.2383442,18137,0.0074867187067866325
1746881807.7006266,18405,0.0094547588378191
1746881845.8430872,18481,0.021258598193526268
1746881985.3627691,18759,0.004674085415899754
1746881988.3671396,18765,0.04027769714593887
1746882003.3996985,18795,0.008069015108048916
1746882161.0838008,19109,0.011180883273482323
1746882211.3318975,19209,0.017480596899986267
1746882266.667266,19319,0.006891785189509392
1746882295.699456,19377,0.024434378370642662
1746882357.9336445,19501,0.01371825486421585
1746882380.4979193,19546,0.001814922783523798
1746882416.0166948,19617,0.009525736793875694
1746882528.2081335,19841,0.008234614506363869
1746882607.5994892,19999,0.00815482996404171
1746882918.2234862,20618,0.04557715356349945
1746882932.317363,20646,0.002894044853746891
1746883030.4482384,20841,0.014268334023654461
1746883094.2752883,20968,0.011271386407315731
1746883128.4327452,21036,0.050113216042518616
1746883136.4905467,21052,0.0033206406515091658
1746883175.185227,21129,0.008087800815701485
1746883244.3067677,21267,0.008962135761976242
1746883266.312559,21311,0.01689089462161064
1746883449.3782237,21676,0.0448475182056427
1746883643.6315255,22063,0.02053612843155861
1746883693.0706291,22162,0.01775875873863697
1746883963.9721885,22702,0.037003226578235626
1746884148.6117146,23071,0.00683696148917079
